CountyName	PrecinctName	Amend #2 Yes	Amend #2 No	Amend #3 Yes	Amend #3 No	Amend #6 Yes	Amend #6 No	Amend #7 Yes	Amend #7 No	Prop B Yes	Prop B No
ADAIR	001 SW BENTON-1	246	219	205	267	260	196	379	82	357	105
ADAIR	002 SE BENTON-2	461	470	521	435	571	351	779	139	658	284
ADAIR	003 SE BENTON-3	309	206	319	201	336	153	403	90	407	102
ADAIR	004 NE BENTON-4	366	315	353	341	428	228	537	123	494	191
ADAIR	005 NE BENTON-5	340	304	325	327	379	239	522	101	449	188
ADAIR	006 NE BENTON-6	442	418	457	418	523	304	716	119	589	277
ADAIR	007 TSU-BENTON	259	121	299	80	277	69	309	43	316	54
ADAIR	008 RURAL BENTON	572	681	545	710	699	501	976	231	791	443
ADAßIR	009 BRASHEAR	240	399	260	404	346	294	511	135	411	247
ADAIR	010 NOVINGER	279	419	247	464	331	353	528	154	494	206
ADAIR	0998 Federal										
ADAIR	0999 Absentee	511	385	483	437	532	337	740	137	627	280
ADAIR	12 WRITE IN										
ANDREW	001 Clay	31	68	27	72	46	48	66	30	55	43
ANDREW	002 Fillmore	94	122	67	150	115	92	162	51	135	81
ANDREW	003 Lincoln	208	163	143	229	212	140	293	66	259	109
ANDREW	004 N.E. Savannah	267	272	266	272	328	180	398	116	337	190
ANDREW	005 N.W. Savannah	353	249	274	329	304	281	458	133	423	175
ANDREW	006 S.E. Savannah	312	318	256	371	347	259	456	154	448	173
ANDREW	007 S.W. Savannah	247	243	231	261	283	186	361	114	325	160
ANDREW	008 Beeler	309	290	297	300	365	220	470	124	374	220
ANDREW	009 John Glenn	272	255	236	290	294	208	392	119	342	182
ANDREW	010 Country Club	341	259	314	285	359	213	438	136	397	190
ANDREW	011 Bolckow	52	119	52	118	91	73	130	38	118	49
ANDREW	012 Rosendale	89	123	68	144	96	101	139	63	141	68
ANDREW	013 West  Platte	53	105	56	104	66	85	109	43	93	67
ANDREW	014 East Platte	31	41	22	51	34	37	47	24	36	36
ANDREW	015 East Empire	38	67	40	65	54	48	83	19	72	32
ANDREW	016 Rochester	141	175	122	191	171	134	229	82	203	111
ANDREW	017 Helena	119	142	79	182	136	121	181	75	157	104
ANDREW	018 East Monroe	59	103	67	94	80	77	114	42	86	74
ANDREW	019 West Monroe	88	98	81	105	103	71	136	43	112	72
ANDREW	020 Absentee	201	191	212	175	259	115	319	57	257	126
ANDREW	021 Provisional	1		1		1			1	1	
ANDREW	022 Intrastate New Resident	2		2		1	1	2		1	1
ATCHISON	01 TARKIO	358	340	305	386	408	271	534	152	501	196
ATCHISON	02 ROCKPORT	465	411	460	403	506	331	652	190	621	247
ATCHISON	03 FAIRFAX	253	242	201	294	270	208	351	128	346	145
ATCHISON	04 WESTBORO	88	83	88	80	96	66	123	43	111	55
ATCHISON	05 WATSON	46	49	39	55	45	46	76	17	77	17
ATCHISON	06 ABSENTEE	95	73	95	74	115	45	137	25	115	54
ATCHISON	07 PROVISIONAL										
AUDRAIN	00 - VANDALIA	330	458	289	492	452	297	602	157	585	191
AUDRAIN	01 - E CUIVRE	106	145	100	152	148	94	197	49	159	92
AUDRAIN	02 - 2 FARBER	89	104	65	123	108	74	147	41	140	52
AUDRAIN	03 - 3 LADDONIA	95	157	70	185	136	103	188	54	186	67
AUDRAIN	04 - 4 MARTINSBURG	76	238	109	203	167	126	237	55	201	102
AUDRAIN	05 - 5 BENTON CITY	97	173	91	176	157	98	214	40	177	90
AUDRAIN	06 - SOUTH FORK	164	334	191	305	263	217	393	86	315	181
AUDRAIN	07 - 7-8 COMMUNITY	370	486	328	525	471	340	696	125	570	281
AUDRAIN	08 - 9 S.R.WILSON	131	172	99	205	154	140	229	70	205	99
AUDRAIN	09 - 10 THOMPSON	187	301	183	305	288	184	391	86	323	162
AUDRAIN	10 - 11 FRIENDSHIP	82	196	90	185	163	100	222	45	168	105
AUDRAIN	11 - MEXICO - 1	324	417	333	399	441	261	595	118	484	253
AUDRAIN	12 - MEXICO - 2	223	319	204	334	329	197	422	105	384	154
AUDRAIN	12 - MEXICO - 3	210	214	182	243	250	149	324	78	327	101
