county,precinct,office,district,party,candidate,votes,election_day,absentee,absentee2
Greene,0001 1-ABC,President,,REP,DONALD J. TRUMP MICHAEL R. PENCE,444,444,0,0
Greene,0001 1-ABC,President,,DEM,JOSEPH R. BIDEN KAMALA D. HARRIS,672,672,0,0
Greene,0001 1-ABC,President,,LIB,JO JORGENSEN JEREMY (SPIKE) COHEN,21,21,0,0
Greene,0001 1-ABC,President,,GRN,HOWIE HAWKINS ANGELA NICOLE WALKER,4,4,0,0
Greene,0001 1-ABC,President,,CST,DON BLANKENSHIP WILLIAM MOHR,0,0,0,0
Greene,0001 1-ABC,Governor,,REP,MIKE PARSON,458,458,0,0
Greene,0001 1-ABC,Governor,,DEM,NICOLE GALLOWAY,671,671,0,0
Greene,0001 1-ABC,Governor,,LIB,RIK COMBS,21,21,0,0
Greene,0001 1-ABC,Governor,,GRN,JEROME HOWARD BAUER,4,4,0,0
Greene,0001 1-ABC,Lieutenant Governor,,REP,MIKE KEHOE,467,467,0,0
Greene,0001 1-ABC,Lieutenant Governor,,DEM,ALISSIA CANADY,614,614,0,0
Greene,0001 1-ABC,Lieutenant Governor,,LIB,BILL SLANTZ,27,27,0,0
Greene,0001 1-ABC,Lieutenant Governor,,GRN,KELLEY DRAGOO,25,25,0,0
Greene,0001 1-ABC,Secretary of State,,REP,JOHN R. (JAY) ASHCROFT,479,479,0,0
Greene,0001 1-ABC,Secretary of State,,DEM,YINKA FALETI,612,612,0,0
Greene,0001 1-ABC,Secretary of State,,LIB,CARL HERMAN FREESE,25,25,0,0
Greene,0001 1-ABC,Secretary of State,,GRN,PAUL LEHMANN,15,15,0,0
Greene,0001 1-ABC,Secretary of State,,CST,PAUL VENABLE,2,2,0,0
Greene,0001 1-ABC,State Treasurer,,REP,SCOTT FITZPATRICK,478,478,0,0
Greene,0001 1-ABC,State Treasurer,,DEM,VICKI LORENZ ENGLUND,608,608,0,0
Greene,0001 1-ABC,State Treasurer,,LIB,NICHOLAS (NICK) KASOFF,27,27,0,0
Greene,0001 1-ABC,State Treasurer,,GRN,JOSEPH CIVETTINI,13,13,0,0
Greene,0001 1-ABC,Attorney General,,REP,ERIC SCHMITT,497,497,0,0
