county,office,district,party,candidate,votes,office
All,Governor,All,REP,Raleigh Ritter,27264,Governor
All,Governor,All,REP,Mike Parson,511566,Governor
All,Governor,All,REP,James W. (Jim) Neely,59514,Governor
All,Governor,All,REP,Saundra McDowell,84412,Governor
All,Governor,All,DEM,Nicole Galloway,455203,Governor
All,Governor,All,DEM,Jimmie Matthews,20586,Governor
All,Governor,All,DEM,Antoin Johnson,20254,Governor
All,Governor,All,DEM,Eric Morrison,32403,Governor
All,Governor,All,DEM,Robin John Daniel Van Quaethem,9481,Governor
All,Governor,All,LIB,Rik Combs,4171,Governor
All,Governor,All,GRE,Jerome Howard Bauer,862,Governor
All,Lt. Governor,All,REP,Arnie C. AC Dienoff,35929,Lt. Governor
All,Lt. Governor,All,REP,Mike Kehoe,362442,Lt. Governor
All,Lt. Governor,All,REP,Aaron T Wisdom,52810,Lt. Governor
All,Lt. Governor,All,REP,Mike Carter,158914,Lt. Governor
All,Lt. Governor,All,DEM,Gregory A Upchurch,133751,Lt. Governor
All,Lt. Governor,All,DEM,Alissia Canady,371802,Lt. Governor
All,Lt. Governor,All,LIB,Bill Slantz,4103,Lt. Governor
All,Lt. Governor,All,GRE,Kelley Dragoo,860,Lt. Governor
All,Secretary of State,All,REP,John R. (Jay) Ashcroft,620822,Secretary of State
All,Secretary of State,All,DEM,Yinka Faleti,470955,Secretary of State
All,Secretary of State,All,LIB,Carl Herman Freese,4074,Secretary of State
All,Secretary of State,All,GRE,Paul Lehmann,860,Secretary of State
All,Secretary of State,All,CON,Paul Venable,573,Secretary of State
All,Treasurer,All,REP,Scott Fitzpatrick,597408,Treasurer
All,Treasurer,All,DEM,Vicki Lorenz Englund,473904,Treasurer
All,Treasurer,All,LIB,Nicholas (Nick) Kasoff,4096,Treasurer
All,Treasurer,All,GRE,Joseph Civettini,852,Treasurer
All,Attorney General,All,REP,Eric Schmitt,602577,Attorney General
All,Attorney General,All,DEM,Rich Finneran,272516,Attorney General
All,Attorney General,All,DEM,Elad Gross,219462,Attorney General
All,Attorney General,All,LIB,Kevin C Babcock,4089,Attorney General
All,U.S. Representative,District 1,REP,Winnie Heartstrong,4367,U.S. Representative
All,U.S. Representative,District 1,REP,Anthony Rogers,6979,U.S. Representative
All,U.S. Representative,District 1,DEM,Cori Bush,73274,U.S. Representative
All,U.S. Representative,District 1,DEM,Lacy Clay,68887,U.S. Representative
All,U.S. Representative,District 1,DEM,Katherine (Kat) Bruckner,8850,U.S. Representative
All,U.S. Representative,District 1,LIB,Alex Furman,337,U.S. Representative
All,U.S. Representative,District 2,REP,Ann Wagner,63686,U.S. Representative
All,U.S. Representative,District 2,DEM,Jill Schupp,103164,U.S. Representative
All,U.S. Representative,District 2,LIB,Martin Schulte,737,U.S. Representative
All,U.S. Representative,District 3,REP,Brandon Wilkinson,15901,U.S. Representative
All,U.S. Representative,District 3,REP,Adela Wisdom,3485,U.S. Representative
All,U.S. Representative,District 3,REP,Blaine Luetkemeyer,80627,U.S. Representative
