candidate,office,district,party,county,precinct,votes
,Registered Voters,,,Adair,Southwest 1,1233.0
,Ballots Cast,,,Adair,Southwest 1,215.0
Tony Monetti,U.S. Senate,,REP,Adair,Southwest 1,7.0
Austin Petersen,U.S. Senate,,REP,Adair,Southwest 1,10.0
Josh Hawley,U.S. Senate,,REP,Adair,Southwest 1,58.0
Fred Ryman,U.S. Senate,,REP,Adair,Southwest 1,4.0
Christina Smith,U.S. Senate,,REP,Adair,Southwest 1,15.0
Kristi Nichols,U.S. Senate,,REP,Adair,Southwest 1,16.0
Bradley Krembs,U.S. Senate,,REP,Adair,Southwest 1,0.0
Ken Patterson,U.S. Senate,,REP,Adair,Southwest 1,7.0
Brian G Hagg,U.S. Senate,,REP,Adair,Southwest 1,5.0
Courtland Sykes,U.S. Senate,,REP,Adair,Southwest 1,3.0
Peter Pfeifer,U.S. Senate,,REP,Adair,Southwest 1,5.0
Carla (Coffee) Wright,U S Senate,,DEM,Adair,Southwest 1,5.0
Angelica Earl,U S Senate,,DEM,Adair,Southwest 1,5.0
Leonard Joseph Steinman II,U S Senate,,DEM,Adair,Southwest 1,0.0
John Hogan,U S Senate,,DEM,Adair,Southwest 1,3.0
Travis Gonzalez,U S Senate,,DEM,Adair,Southwest 1,1.0
David Faust,U S Senate,,DEM,Adair,Southwest 1,3.0
Claire McCaskill,U S Senate,,DEM,Adair,Southwest 1,44.0
Japheth Campbell,U S Senate,,LIB,Adair,Southwest 1,1.0
Jo Crain,U S Senate,,GRN,Adair,Southwest 1,0.0
Jerome Bauer,U S Senate,,GRN,Adair,Southwest 1,0.0
Kevin M Roach,State Auditor,,REP,Adair,Southwest 1,33.0
David Wasinger,State Auditor,,REP,Adair,Southwest 1,21.0
Paul Curtman,State Auditor,,REP,Adair,Southwest 1,19.0
Saundra McDowell,State Auditor,,REP,Adair,Southwest 1,45.0
Nicole Galloway,State Auditor,,DEM,Adair,Southwest 1,55.0
Sean O'Toole,State Auditor,,LIB,Adair,Southwest 1,1.0
Don Fitz,State Auditor,,GRN,Adair,Southwest 1,0.0
Jacob Luetkemeyer,State Auditor,,CON,Adair,Southwest 1,0.0
Sam Graves,U S House,6,REP,Adair,Southwest 1,120.0
Winston Apple,U S House,6,DEM,Adair,Southwest 1,19.0
Henry Robert Martin,U S House,6,DEM,Adair,Southwest 1,22.0
Ed Andres,U S House,6,DEM,Adair,Southwest 1,9.0
Dan Hogan,U S House,6,LIB,Adair,Southwest 1,1.0
Lindell F Shumake,State Senate,18,REP,Adair,Southwest 1,2.0
Craig Redmon,State Senate,18,REP,Adair,Southwest 1,20.0
Cindy O'Laughlin,State Senate,18,REP,Adair,Southwest 1,47.0
Nate Walker,State Senate,18,REP,Adair,Southwest 1,76.0
Crystal Stephens,State Senate,18,DEM,Adair,Southwest 1,50.0
